Region,iso3,Country,City,Year,Annual.mean,Temporal coverage,note on converted PM10,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Western Pacific (HIC),AUS,Australia,Tamworth,2013,17,>75%,Measured,(7)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Tamworth,2014,16,>75%,Measured,(7)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Tamworth,2015,14,>75%,Measured,(6)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Tamworth,2016,15,>75%,Measured,(7)-converted value,NA,Converted,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Townsville,2015,18,>75%,Measured,(8)-converted value,NA,Converted,1 N.A.,Queensland Government Data,2018,
Western Pacific (HIC),AUS,Australia,Upper Hunter,2014,(20)-converted value,NA,Converted,8,NA,Measured,-,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf,2016,
Western Pacific (HIC),AUS,Australia,Wagga Wagga,2013,22,>75%,Measured,8,>75%,Measured,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Wagga Wagga,2014,21,>75%,Measured,7,>75%,Measured,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Wagga Wagga,2015,20,>75%,Measured,8,>75%,Measured,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Wagga Wagga,2016,21,>75%,Measured,7,>75%,Measured,1 Campaign Site,Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Whyalla,2012,17,>75%,Measured,(7)-converted value,NA,Converted,"1 Industry, 1 Residential",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Whyalla,2013,17,>75%,Measured,(7)-converted value,NA,Converted,"1 Industry, 1 Residential",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Whyalla,2014,16,>75%,Measured,(7)-converted value,NA,Converted,"1 Industry, 1 Residential",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Whyalla,2015,16,>75%,Measured,(7)-converted value,NA,Converted,"1 Industry, 1 Residential",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Whyalla,2016,15,>75%,Measured,(6)-converted value,NA,Converted,"1 Industry, 1 Residential",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Wollongong,2013,17,>75%,Measured,8,>75%,Measured,"2 Peformance Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Wollongong,2014,17,>75%,Measured,7,>75%,Measured,"2 Peformance Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
Western Pacific (HIC),AUS,Australia,Wollongong,2015,16,>75%,Measured,7,>75%,Measured,"2 Peformance Site, 1 Trend Site",Office of Environment and Heritage NSW Government,2018,
